sides,edge,n_bets,n_wins,hit_rate,profit,roi,n_H,n_D,n_A,avg_odds
"H,A,H,D,A,A,H,D",0.000000,538,135,0.250929,-92.830000,-0.172546,228,120,190,3.676691
"H,A,H,D,A,A,H,D",0.020000,481,116,0.241164,-97.490000,-0.202682,209,104,168,3.744096
"H,A,H,D,A,A,H,D",0.030000,422,98,0.232227,-98.080000,-0.232417,199,77,146,3.757346
"H,A,H,D,A,A,H,D",0.050000,324,73,0.225309,-78.160000,-0.241235,170,35,119,3.840926
"H,A,H,D,A,A,H,D",0.080000,193,39,0.202073,-54.390000,-0.281813,113,9,71,4.020570
"H,A,H,D,A,A,H,D",0.100000,126,25,0.198413,-40.220000,-0.319206,85,6,35,3.936667
