mode,k,home_adv,test_logloss,test_auc,test_brier,test_acc,market_logloss,market_auc,roi_edge_0,profit_edge_0,nbets_edge_0,roi_edge_0.02,profit_edge_0.02,nbets_edge_0.02,roi_edge_0.03,profit_edge_0.03,nbets_edge_0.03,roi_edge_0.05,profit_edge_0.05,nbets_edge_0.05,roi_edge_0.08,profit_edge_0.08,nbets_edge_0.08
continuous,25.000000,120.000000,0.688943,0.559725,0.247895,0.539948,0.671823,0.613850,-0.092994,-72.163389,776,-0.122163,-72.320544,592,-0.160188,-81.535714,509,-0.175209,-60.622446,346,-0.236340,-41.359452,175
season_reset,15.000000,60.000000,0.692411,0.544742,0.249594,0.538660,0.671823,0.613850,-0.130679,-101.407022,776,-0.150994,-93.616546,620,-0.132800,-73.438209,553,-0.167613,-67.883372,405,-0.098606,-22.284953,226
