edge,n_bets,n_wins,hit_rate,profit,roi,n_fav,n_dc
0.000000,776,335,0.431701,-52.792800,-0.068032,373,403
0.020000,635,268,0.422047,-38.673370,-0.060903,295,340
0.030000,567,239,0.421517,-27.963044,-0.049318,256,311
0.050000,447,177,0.395973,-36.020100,-0.080582,190,257
0.080000,296,112,0.378378,-26.930165,-0.090980,100,196
