feature,coefficient
season_index,-0.08030480684347384
away_win_lag_2,-0.07107968136215671
home_win_lag_1,0.056915235982982024
away_win_lag_5,-0.04771819460079132
home_h2h_win_lag_1,0.04646071153568677
home_win_lag_3,0.03578465033283761
home_h2h_win_lag_4,0.028585939627886987
home_win_lag_4,0.025478288988607486
home_win_lag_2,-0.017798021796702698
away_win_lag_3,-0.014795801845159082
home_h2h_win_lag_3,0.012238078273980603
away_win_lag_1,0.009550935087051599
home_h2h_win_lag_2,0.008668727712313766
home_h2h_win_lag_5,0.005840509536952065
away_win_lag_4,-0.0026539473510934428
home_win_lag_5,0.0013024637024406105
