edge,n_bets,n_wins,hit_rate,profit,roi,n_fav,n_dc
0.000000,776,353,0.454897,-102.889811,-0.132590,329,447
0.020000,631,279,0.442155,-99.334832,-0.157424,254,377
0.030000,552,249,0.451087,-77.151820,-0.139768,218,334
0.050000,415,190,0.457831,-54.009709,-0.130144,153,262
0.080000,240,109,0.454167,-30.136862,-0.125570,96,144
0.100000,153,67,0.437908,-22.625571,-0.147880,59,94
