sides,edge,n_bets,n_wins,hit_rate,profit,roi,n_H,n_D,n_A,avg_odds
"H,D,A",0.000000,520,164,0.315385,-49.790000,-0.095750,275,85,160,3.245654
"H,D,A",0.020000,441,137,0.310658,-43.800000,-0.099320,245,56,140,3.263696
"H,D,A",0.030000,396,121,0.305556,-50.700000,-0.128030,227,40,129,3.275025
"H,D,A",0.050000,315,93,0.295238,-50.480000,-0.160254,192,15,108,3.289905
"H,D,A",0.080000,187,51,0.272727,-35.610000,-0.190428,121,4,62,3.300267
"H,D,A",0.100000,138,36,0.260870,-29.720000,-0.215362,93,2,43,3.287464
"H,A",0.000000,497,155,0.311871,-81.720000,-0.164427,291,0,206,3.221529
"H,A",0.020000,410,125,0.304878,-66.450000,-0.162073,246,0,164,3.281220
"H,A",0.030000,375,113,0.301333,-64.790000,-0.172773,227,0,148,3.300107
"H,A",0.050000,310,91,0.293548,-56.200000,-0.181290,192,0,118,3.316000
"H,A",0.080000,185,50,0.270270,-39.550000,-0.213784,121,0,64,3.297189
"H,A",0.100000,136,35,0.257353,-33.660000,-0.247500,93,0,43,3.257647
