edge,n_bets,n_wins,hit_rate,profit,roi,n_fav,n_dc
0.000000,776,331,0.426546,-101.407022,-0.130679,417,359
0.020000,620,254,0.409677,-93.616546,-0.150994,339,281
0.030000,553,229,0.414105,-73.438209,-0.132800,306,247
0.050000,405,156,0.385185,-67.883372,-0.167613,234,171
0.080000,226,89,0.393805,-22.284953,-0.098606,143,83
